timestamp,api_source,run_number,hardware_platform,hardware_model,cloud_platform,chaos_strategy,chaos_level,drift_type,original_field,mutated_field,metadata
2026-05-20T17:46:49.214815Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:46:49.215541Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 198.05300763838568, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:46:52.880935Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 200.60676442220526, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:46:53.994481Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canounical,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:46:54.468977Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,value,measure,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:46:56.430557Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:46:56.758140Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 197.57050219668673, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:46:58.238824Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:46:59.262233Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pribce"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:00.475547Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""prcie"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:01.660002Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,value,measure,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:02.604828Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pric"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:04.086955Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:04.581944Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,value,reading,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:05.776367Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:06.676113Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pgrice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:07.053940Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 173.8568448726981, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:07.775901Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,zmetadata,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:07.908268Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""rice"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:09.082454Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:09.234337Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 197.80164497660604, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:10.324248Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,valu,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:10.970532Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonimcal,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:11.222482Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:11.768603Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pirce"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:13.406079Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,voalue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:14.210054Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,value,measure,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:14.630425Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 172.99461000141127, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:14.911158Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 183.9693460702047, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:16.335149Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,value_typo,canonical_value,canonical_value,"{""original_value"": ""price"", ""mutated_value"": ""pirce"", ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:17.246795Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,canonical,canonical_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:18.596393Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,value,vanlue,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:19.563566Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,numeric_perturbation,value_value,value_value,"{""original_value"": 182.5, ""mutated_value"": 188.1976355603734, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:19.709987Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,synonym_rename,metadata,metadata_drifted,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:19.867449Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,metadata,meadata,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
2026-05-20T17:47:22.013291Z,finnhub,1,MPS,Apple Silicon (arm),local,json,0.05,typo_rename,canonical,canonicapl,"{""mutation_rate"": 0.05, ""total_runtime_sec"": 13.349549875012599}"
